ЯНГИКУРГАН НАМ|36963|21292,00|21208,00
АБАЙ|32149|0,00|23421,00
АБАКАН|39172|91,00|64300,00
АБАН|39163|22222,00|21233,00
АБДУЛИНО|35365|0,00|21155,00
АБИНСК|86150|51957,00|51899,00
АБОВЯН|88561|0,00|24341,00
АВДЕЕВКА|06236|22222,00|0,00
АГАПОВКА|35140|23222,00|23166,00
АГДАМ|89292|0,00|62499,00
АГИНСКОЕ|30239|34216,00|34216,00
АГИНСКОЕ|39142|0,00|21555,00
АГРЫЗ|84351|0,00|32940,00
АДАМОВКА|35361|21400,00|21999,00
АДЛЕР|8622|442009,00|440602,00
АЗИЗБЕКОВ|88579|0,00|23231,00
АЗНАКАЕВО|84311|0,00|0,00
АЗОВ|86342|31511,00|30024,00
АЙКИНО|82134|91588,00|91648,00
АКАЛТЫН|37476|11222,00|11440,00
АКЖАР|32367|0,00|21236,00
АКИМОВКА|06131|91222,00|91680,00
АККОЛЬ|32641|21682,00|21498,00
АККУРГАН|37155|91041,00|91405,00
АКМАНГИТ|36142|0,00|55240,00
АКСАЙ|86350|21909,00|21736,00
АКСУБАЕВО|84344|21112,00|21112,00
АКТАНЫШ|84352|0,00|31160,00
АКТАШ|36643|21222,00|21069,00
АКТЮБИНСК|31322|22121,00|21921,00
АКША|30231|31284,00|31340,00
АЛАБУКА|33241|21151,00|21990,00
АЛАВЕРДЫ|88573|22927,00|23311,00
АЛАГИР|86731|24550,00|22929,00
АЛАПАЕВСК|34346|56422,00|52999,00
АЛАТ|36534|22222,00|22333,00
АЛАТЫРЬ|83549|52222,00|53569,00
АЛГА|31337|21500,00|31033,00
АЛДАН|41145|9111,00|21540,00
АЛЕЙСК|38553|22209,00|22464,00
АЛЕКСАНДР-НЕВСК|09158|0,00|22211,00
АЛЕКСАНДРИЯ|05235|22474,00|23111,00
АЛЕКСАНДРОВ|09244|22222,00|25000,00
АЛЕКСАНДРОВ ГАЙ|845ВР|0,00|0,00
АЛЕКСАНДРОВКА|05242|2222,00|2528,00
АЛЕКСАНДРОВКА|06269|21222,00|21374,00
АЛЕКСАНДРОВСК|42434|4999,00|3299,00
АЛЕКСАНДРОВСКОЕ|38255|21009,00|21555,00
АЛЕКСАНДРОВСКОЕ|86557|91551,00|91939,00
АЛЕКСЕВКА|31738|91222,00|92552,00
АЛЕКСЕЕВКА|07234|32222,00|32133,00
АЛЕКСЕЕВКА|07234|32222,00|32133,00
АЛЕКСЕЕВКА|32350|0,00|21198,00
АЛЕКСЕЕВКА|84446|31900,00|31562,00
АЛЕКСЕЕВКА|84671|91833,00|91134,00
АЛЕКСЕЕВСКОЕ|84341|21133,00|21701,00
АЛЕКСИН|08753|20009,00|31717,00
АЛИ-БАЙРАМЛЫ|89297|0,00|30817,00
АЛИКОВО|83564|222,00|207,00
АЛИТУС|01235|52222,00|54888,00
АЛМА-АТА|3272|695122,00|339411,00
АЛМАЛЫК|37161|42222,00|42802,00
АЛНАШИ|34150|0,00|21270,00
АЛТАЙСКИЙ|38537|22209,00|22406,00
АЛТЫАРЫК|37343|32912,00|21461,00
АЛТЫНКУЛЬ|37435|46222,00|46333,00
АЛУКСНЕ|01343|22222,00|22600,00
АЛУШТА|06560|32222,00|31122,00
АЛЬМЕНЕВО|35242|92551,00|92860,00
АЛЬМЕТЬЕВСК|84312|23999,00|25144,00
АМВРОСИЕВКА|06259|22222,00|24373,00
АМГА|41142|9111,00|21325,00
АМУРСК|42152|24751,00|24795,00
АНАНЬЕВ|04863|0,00|21180,00
АНАПА|86133|24462,00|24599,00
АНГАРСК|39518|60901,00|22949,00
АНГОР|37631|0,00|22200,00
АНГРЕН|37166|22222,00|23073,00
АНДИЖАН|37422|990911,00|54831,00
АНДРЕАПОЛЬ|08267|0,00|21013,00
АНДРИАНОВО|81261|0,00|0,00
АНДРОНОВСКОЕ|81265|0,00|0,00
АНДРУШЕВКА|04136|91222,00|91101,00
АНЖЕРО-СУДЖЕНСК|38453|22643,00|22031,00
АНИВА|42441|51469,00|52345,00
АНИКЩЯЙ|01251|51222,00|51545,00
АНИНО|81276|0,00|0,00
АННА|07346|22222,00|0,00
АННАУ|36337|24222,00|24194,00
АНРЕЕВКА|32872|25551,00|21603,00
АНТРАЦИТ|06431|32222,00|37111,00
АНТРОПОВО|09430|41100,00|41577,00
АНУЧИНО|42362|0,00|91460,00
АПАРАН|88552|0,00|4211,00
АПАСТОВО|84376|201,00|662,00
АПАТИТЫ|81555|32955,00|30030,00
АПОСТОЛОВО|05656|95533,00|91066,00
АПШЕРОНСК|86152|91100,00|92105,00
АРАВАН|33251|0,00|22334,00
АРБУЗИНКА|05132|0,00|91180,00
АРГАЯШ|35132|91145,00|91755,00
АРГУН|87147|25183,00|25183,00
АРДАТОВ|83431|21292,00|21403,00
АРДОН|86732|22222,00|22040,00
АРЗАМАС|83147|24222,00|22121,00
АРКАДАК|84542|21965,00|21175,00
АРКАЛЫК|33022|22300,00|20430,00
АРМАВИР|86137|53721,00|53721,00
АРСЕНЬЕВ|42361|24950,00|24557,00
АРСЕНЬЕВО|08733|0,00|21208,00
АРСК|84366|21909,00|21121,00
АРТАШАТ|88545|0,00|21537,00
АРТЕМ|42337|2903,00|2572,00
АРТЕМОВСК|06274|22222,00|0,00
АРТЕМОВСКИЙ|34363|32222,00|32770,00
АРТИ|34395|91222,00|91125,00
АРТИК|88544|0,00|21523,00
АРХАНГЕЛЬСК|81822|30000,00|32186,00
АРХАНГЕЛЬСКОЕ|08744|0,00|21500,00
АРХАНГЕЛЬСКОЕ|34774|21155,00|21490,00
АРХОНКА|86739|0,00|33151,00
АРЦИЗ|04845|31212,00|31484,00
АРЫКБАЛЫК|31630|0,00|91165,00
АСБЕСТ|34365|24009,00|22440,00
АСИНО|38241|22910,00|22871,00
АСКАРОВО|34772|21331,00|21240,00
АСКИНО|34771|21222,00|21909,00
АССА|32633|21284,00|21390,00
АСТАРА|89295|0,00|31109,00
АСТРАХАНКА|31734|22166,00|22276,00
АСТРАХАНЬ|85122|26521,00|34218,00
АТБАСАР|31736|43380,00|42727,00
АТБАШИ|33534|22211,00|21460,00
АТКАРСК|84552|22222,00|22089,00
АТЮРЬЕВО|83454|21116,00|21535,00
АТЯШЕВО|83434|21111,00|21480,00
АХАЛКАЛАКИ|88362|0,00|21552,00
АХАНГАРАН|37164|52222,00|52121,00
АХМЕТА|88349|0,00|21999,00
АХСУ|89298|0,00|2174,00
АХТУБИНСК|85111|51158,00|52200,00
АХТЫРКА|05446|23515,00|23211,00
АХУНБАБАЕВ|37475|52222,00|51333,00
АЧИНСК|39151|74399,00|22733,00
АЧХОЙ-МАРТАН|87142|22565,00|21542,00
АШТАРАК|88543|0,00|24010,00
АШХАБАД|3632|296550,00|293561,00
АЯГУЗ|32237|22254,00|24221,00
Б-БЕРЕЗНИКИ|83436|22222,00|21121,00
Б-ВЛАДИМИРОВКА|32236|0,00|91151,00
Б-ГЛУШИЦА|84673|21021,00|21021,00
Б-ИГНАТОВО|83442|21111,00|21313,00
Б-ИЖОРА|81276|0,00|0,00
Б-КОЛПАНЫ|81271|0,00|0,00
Б-МАРТЫНОВКА|86395|21638,00|21699,00
Б-НАГАТКИНО|84245|0,00|21444,00
Б-СОЛДАТСКОЕ|07168|0,00|21305,00
Б-СОРОКИНО|34550|22275,00|0,00
Б-СОСНОВКА|34257|0,00|21848,00
Б-ЧЕРНИГОВКА|84672|0,00|21199,00
БАБАЕВО|81743|22222,00|21240,00
БАБУШКИНО|81745|21222,00|21293,00
БАБЫЛИНО|08448|22386,00|91320,00
БАВЛЫ|84319|0,00|21090,00
БАГАЕВСКОЕ|86357|22222,00|31365,00
БАГАН|38353|0,00|91533,00
БАГАТ|36231|53222,00|53153,00
БАГДАД|37347|92222,00|92677,00
БАГРАТИОНОВСК|01156|0,00|63300,00
БАЕВО|38515|22209,00|22336,00
БАЗ-КАРБУЛАК|84591|22222,00|21507,00
БАЗАР-КОРГОН|33236|22570,00|22116,00
БАЗАРНЫЕ МАТАКИ|84346|0,00|205,00
БАЙКАДАМ|32639|21104,00|21579,00
БАЙРАМ-АЛИ|37064|21209,00|23860,00
БАЙСУН|37633|0,00|51444,00
БАКАЛЫ|34742|21551,00|21777,00
БАКАНАС|32773|91292,00|91887,00
БАКСАН|86634|24444,00|0,00
БАКУ|8922|932724,00|964302,00
БАЛАБАНОВО|08458|0,00|21131,00
БАЛАКЛЕЯ|05749|52222,00|53500,00
БАЛАКОВО|84570|44430,00|22526,00
БАЛАХНА|83144|2009,00|0,00
БАЛАХТА|39148|21399,00|21762,00
БАЛАШОВ|84545|32222,00|38818,00
БАЛВИ|01345|22222,00|22300,00
БАЛЕВИНО|34166|0,00|21213,00
БАЛЕЗИНО|34166|0,00|0,00
БАЛЕЙ|30232|51970,00|51970,00
БАЛКАШИНО|31732|91241,00|91700,00
БАЛТА|04866|0,00|0,00
БАЛТАЙ|84592|21222,00|21301,00
БАЛТАСИ|84368|21000,00|21000,00
БАЛТИЙСК|01145|22578,00|20497,00
БАЛХАШ|31091|21099,00|20505,00
БАЛЫКЧИ|37432|22222,00|11108,00
БАРАБИНСК|38361|2920,00|2632,00
БАРАНОВИЧИ|01634|22222,00|24711,00
БАРАНОВКА|04144|42222,00|42260,00
БАРВЕНКОВО|05757|21889,00|22028,00
БАРГУЗИН|30131|0,00|91550,00
БАРДА|34299|0,00|20009,00
БАРДА|89210|0,00|22399,00
БАРНАУЛ|3852|256683,00|258572,00
БАРШАТАС|32346|21150,00|21100,00
БАРЫШ|84253|21212,00|21899,00
БАРЫШЕВКА|04476|51332,00|51939,00
БАРЯТИНО|08454|91222,00|91221,00
БАТАЙСК|86354|61091,00|76801,00
БАТАМШИНСКИЙ|31372|21999,00|21980,00
БАТЕЦКИЙ|81661|0,00|275,00
БАТОВО|81271|5,00|0,00
БАТУМИ|88222|20911,00|0,00
БАТЫРЕВО|83544|22222,00|22241,00
БАУСКА|01339|22222,00|2333,00
БАХАРДЕН|36331|91222,00|91666,00
БАХМАЧ|04635|22222,00|21142,00
БАХЧИСАРАЙ|06554|32222,00|32520,00
БАШМАКОВО|84143|21222,00|21141,00
БАШТАНКА|05158|0,00|91564,00
БЕДНОДЕМЯНСК|84151|222,00|259,00
БЕЖАНИЦЫ|81141|0,00|91103,00
БЕЖЕЦК|08231|22222,00|22569,00
БЕЗЕНЧУК|84676|91338,00|91610,00
БЕЗМЕИН|36338|32222,00|32294,00
БЕЙЛАГАН|89252|0,00|22111,00
БЕКАБАД|37191|2222,00|5590,00
БЕЛАЯ|07194|21508,00|21198,00
БЕЛАЯ ГЛИНА|86154|99913,00|99001,00
БЕЛАЯ КАЛИТВА|86313|32222,00|31199,00
БЕЛАЯ ХОЛУНИЦА|83336|11109,00|11771,00
БЕЛАЯ ЦЕРКОВЬ|04463|52222,00|51543,00
БЕЛГОРОД|04849|22222,00|22266,00
БЕЛГОРОД|07222|22222,00|27080,00
БЕЛЕБЕЙ|34716|23921,00|22731,00
БЕЛЕВ|08742|21292,00|21707,00
БЕЛИНСКИЙ|84153|21333,00|21369,00
БЕЛОВО|38452|21889,00|22912,00
БЕЛОВОДСК|06466|22362,00|22882,00
БЕЛОВОДСК|33131|22362,00|22882,00
БЕЛОГОРСК|06559|91222,00|91508,00
БЕЛОГОРСК|41641|21414,00|20299,00
БЕЛОГОРЬЕ|03841|92222,00|91705,00
БЕЛОГОРЬЕ|31856|91292,00|91563,00
БЕЛОЗЕРКА|05547|0,00|0,00
БЕЛОЗЕРСК|81756|22222,00|21010,00
БЕЛОЗЕРСКОЕ|35232|21697,00|21497,00
БЕЛОКУРАКИНО|06462|91101,00|91200,00
БЕЛОКУРИХА|38577|28209,00|28406,00
БЕЛОМОРСК|81437|0,00|21490,00
БЕЛОПОЛЬЕ|05443|91515,00|91031,00
БЕЛОРЕЦК|34792|43317,00|31547,00
БЕЛОРЕЧЕНСК|86155|22232,00|23463,00
БЕЛОЯРСКИЙ|34377|21222,00|21777,00
БЕЛЫЕ ВОДЫ|32536|0,00|21832,00
БЕЛЫЙ|08250|0,00|22441,00
БЕЛЫЙ ЯР|38258|0,00|22244,00
БЕЛЫНИЧИ|02232|21222,00|21792,00
БЕЛЬЦЫ|04231|22222,00|22420,00
БЕЛЯЕВКА|04852|21101,00|21361,00
БЕНДЕРЫ|04232|22222,00|44140,00
БЕРД|88571|0,00|22511,00
БЕРДИГЕСТЯХ|41131|9111,00|21300,00
БЕРДИЧЕВ|04143|22222,00|20130,00
БЕРДСК|38341|69799,00|63344,00
БЕРДЮЖЬЕ|34554|22222,00|21131,00
БЕРДЯНСК|06153|22222,00|32627,00
БЕРЕГОВО|03141|23222,00|23399,00
БЕРЕЖАНЫЙ|03548|22222,00|21180,00
БЕРЕЖКИ|81263|3,00|0,00
БЕРЕЗА|01643|22222,00|22429,00
БЕРЕЗАНКА|05153|0,00|21498,00
БЕРЕЗИНО|01715|55283,00|55600,00
БЕРЕЗНИГОВАТОЕ|05168|0,00|91300,00
БЕРЕЗНИК|81845|21299,00|22442,00
БЕРЕЗНИКИ|34242|53522,00|53309,00
БЕРЕЗНО|03653|21222,00|21290,00
БЕРЕЗОВКА|04856|1222,00|1179,00
БЕРЕЗОВКА|34251|0,00|21156,00
БЕРЕЗОВКА|39175|91399,00|91399,00
БЕРЕЗОВО|34574|0,00|21700,00
БЕРЕЗОВСКИЙ|34369|25000,00|22217,00
БЕРЕЗОВСКИЙ|38445|21461,00|20605,00
БЕРЕСТОВИЦА|01511|21222,00|21775,00
БЕРИСЛАВ|05546|22222,00|0,00
БЕРУНИ|36152|43109,00|43060,00
БЕРШАДЬ|04365|22222,00|22140,00
БЕСЛАН|86737|0,00|33554,00
БЕССАРАБКА|04267|22222,00|22730,00
БЕССОНОВКА|84140|21122,00|21800,00
БЕШЕНКОВИЧИ|02131|21209,00|21407,00
БЕШКЕНТ|37557|0,00|21240,00
БЕШРАБАТ|43656|0,00|21347,00
БИЖБУЛЯК|34743|21600,00|21586,00
БИЙСК|38538|22209,00|22113,00
БИЛИБИНО|41331|0,00|24499,00
БИРЖАЙ|01220|51222,00|51100,00
БИРОБИДЖАН|42162|60610,00|65558,00
БИРСК|34714|23001,00|23009,00
БИРШТОНАС|01210|56222,00|56205,00
БИЧУРА|30133|0,00|51145,00
БЛАГОВЕЩЕНКА|31569|21121,00|21104,00
БЛАГОВЕЩЕНКА|38564|22209,00|22809,00
БЛАГОВЕЩЕНСК|34766|21069,00|21616,00
БЛАГОВЕЩЕНСК|41622|9909111,00|20454,00
БЛАГОДАРНЫЙ|86559|21108,00|21038,00
БЛИЗНЮКИ|05754|52222,00|52227,00
БОБРИНЕЦ|05257|31222,00|31133,00
БОБРОВ|07350|0,00|0,00
БОБРОВИЦА|04632|22222,00|21142,00
