--- 
? !ruby/symbol en
: 
  АБАЙ: " ABAY "
  АБАКАН: " Abakan "
  АБАН: " Abani "
  АБДУЛИНО: " Abdulino "
  АБИНСК: " Abinsk "
  АБОВЯН: " Abovyan "
  АВДЕЕВКА: " Avdeevka "
  АГАПОВКА: " Agapovka "
  АГДАМ: " AGDAM "
  АГИНСКОЕ: " Aginskiy "
  АГРЫЗ: " Agryz "
  АДАМОВКА: " Adamovka "
  АДЛЕР: " ADLER "
  АЗИЗБЕКОВ: " Azizbekov "
  АЗНАКАЕВО: " Aznakaevo "
  АЗОВ: " Carpathian "
  АЙКИНО: " AYKINO "
  АКАЛТЫН: " Akaltin "
  АКЖАР: " Akzhar "
  АКИМОВКА: " Akimovka "
  АККОЛЬ: " Accola "
  АККУРГАН: " Akkurgan "
  АКМАНГИТ: " Akmangit "
  АКСАЙ: " AXA"
  АКСУБАЕВО: "AKSUBAEVO "
  АКТАНЫШ: " AKTANYSH "
  АКТАШ: " Aktaş "
  АКТЮБИНСК: " AKTOBE "
  АКША: " Akshay "
  АЛАБУКА: " Alabuka "
  АЛАВЕРДЫ: " Alaverdi "
  АЛАГИР: " Alagir "
  АЛАПАЕВСК: " ALAPAEVSKIE "
  АЛАТ: " GOT "
  АЛАТЫРЬ: " Sura "
  АЛГА: " ALGA "
  АЛДАН: " ALDAN "
  АЛЕЙСК: " Aleisk "
  АЛЕКСАНДР-НЕВСК: " Alexander Nevsky "
  АЛЕКСАНДРИЯ: " Alexander "
  АЛЕКСАНДРОВ: " Alexander "
  ? "АЛЕКСАНДРОВ ГАЙ"
  : " Alexander GUY "
  АЛЕКСАНДРОВКА: " Aleksandrovka "
  АЛЕКСАНДРОВСК: " ALEXANDER "
  АЛЕКСАНДРОВСКОЕ: " ALEXANDER "
  АЛЕКСЕВКА: " ALEKSEVKA "
  АЛЕКСЕЕВКА: " Alekseevka "
  АЛЕКСЕЕВСКОЕ: " ALEXEEVSKY "
  АЛЕКСИН: " Aleksino"
  АЛИ-БАЙРАМЛЫ: "Alibayramli "
  АЛИКОВО: " Alikovo "
  АЛИТУС: " Alytus "
